"DateTime","percent","2020 Number of flights","2019 Number of flights","Differenz"
"2020-01-14",4.9,111118,105921,5197
"2020-01-15",8.4,113468,104686,8782
"2020-01-16",9.1,116101,106409,9692
"2020-01-17",8.4,118166,109056,9110
"2020-01-18",-8.1,102580,111675,-9095
"2020-01-19",10,104487,95019,9468
"2020-01-20",20,114237,95178,19059
"2020-01-21",8.2,114029,105342,8687
"2020-01-22",7.8,113739,105554,8185
"2020-01-23",10.2,116682,105845,10837
"2020-01-24",6.3,116092,109199,6893
"2020-01-25",-10.3,101054,112697,-11643
"2020-01-26",5.8,104232,98473,5759
"2020-01-27",12.5,111541,99170,12371
"2020-01-28",4.6,109218,104414,4804
"2020-01-29",3.7,109380,105449,3931
"2020-01-30",5.2,111720,106189,5531
"2020-01-31",3.6,112625,108685,3940
"2020-02-01",-13.9,96729,112340,-15611
"2020-02-02",-2,97348,99308,-1960
"2020-02-03",7.3,105145,98014,7131
"2020-02-04",-1.9,102355,104285,-1930
"2020-02-05",-1.9,103257,105253,-1996
"2020-02-06",-2.8,104450,107413,-2963
"2020-02-07",-2.3,106693,109191,-2498
"2020-02-08",-15.2,94955,111924,-16969
"2020-02-09",-5.7,92966,98617,-5651
"2020-02-10",0.8,100456,99653,803
"2020-02-11",-6.4,100490,107305,-6815
"2020-02-12",-1.9,102317,104319,-2002
"2020-02-13",-1.1,104892,106070,-1178
"2020-02-14",-2.5,109400,112182,-2782
"2020-02-15",-17.6,94885,115200,-20315
"2020-02-16",-7,94042,101085,-7043
"2020-02-17",1.3,101389,100082,1307
"2020-02-18",-5.7,102167,108364,-6197
"2020-02-19",-2.5,105160,107843,-2683
"2020-02-20",0.3,106132,105819,313
"2020-02-21",-1.7,109334,111195,-1861
"2020-02-22",-15.5,95989,113617,-17628
"2020-02-23",-3.4,96973,100342,-3369
"2020-02-24",1.5,103057,101570,1487
"2020-02-25",-5.3,102950,108668,-5718
"2020-02-26",-4.8,104989,110283,-5294
"2020-02-27",-3.5,107084,110924,-3840
"2020-02-28",-2.6,109732,112716,-2984
"2020-03-01",-12.4,100050,114268,-14218
"2020-03-02",4.9,105611,100658,4953
"2020-03-03",3.3,104630,101318,3312
"2020-03-04",-2,105430,107588,-2158
"2020-03-05",-1.9,107758,109792,-2034
"2020-03-06",-1.9,109212,111380,-2168
"2020-03-07",-15.5,95221,112731,-17510
"2020-03-08",-13.2,98866,113926,-15060
"2020-03-09",1.4,101977,100547,1430
"2020-03-10",-3.8,100099,104057,-3958
"2020-03-11",-9.2,101682,111957,-10275
"2020-03-12",-7.1,102027,109823,-7796
"2020-03-13",-6,102669,109202,-6533
"2020-03-14",-19.6,89302,111048,-21746
"2020-03-15",-21.4,90265,114771,-24506
"2020-03-16",-9.7,91831,101724,-9893
"2020-03-17",-17.3,85979,104023,-18044
"2020-03-18",-27.1,81309,111521,-30212
"2020-03-19",-30.3,77201,110687,-33486
"2020-03-20",-33.3,75025,112473,-37448
"2020-03-21",-45.6,61749,113606,-51857
"2020-03-22",-50.5,56862,114760,-57898
"2020-03-23",-46.6,53897,100867,-46970
"2020-03-24",-49.3,52726,104022,-51296
"2020-03-25",-55.3,47745,106895,-59150
"2020-03-26",-56.9,46069,106983,-60914
"2020-03-27",-60.8,43778,111753,-67975
"2020-03-28",-68,36491,114175,-77684
"2020-03-29",-69.8,34594,114410,-79816
"2020-03-30",-64.6,35726,100820,-65094
"2020-03-31",-63.9,37925,105193,-67268
"2020-04-01",-66.9,37353,112963,-75610
"2020-04-02",-69.6,34487,113425,-78938
"2020-04-03",-69.9,34674,115133,-80459
"2020-04-04",-76.6,27209,116507,-89298
"2020-04-05",-76.9,26774,116133,-89359
"2020-04-06",-70.2,30477,102193,-71716
"2020-04-07",-69.4,32221,105165,-72944
"2020-04-08",-71.1,32659,113047,-80388
"2020-04-09",-72.1,31703,113803,-82100
"2020-04-10",-72.3,30129,108860,-78731
"2020-04-11",-72.8,24980,91942,-66962
"2020-04-12",-79.7,23926,117830,-93904
"2020-04-13",-75.2,25969,104835,-78866
"2020-04-14",-71.3,30154,104909,-74755
"2020-04-15",-73,30764,114066,-83302
"2020-04-16",-74,30275,116393,-86118
"2020-04-17",-74.2,30305,117336,-87031
"2020-04-18",-79.4,24392,118513,-94121
"2020-04-19",-78.6,24047,112184,-88137
"2020-04-20",-74.2,26669,103500,-76831
"2020-04-21",-71.8,29439,104560,-75121
"2020-04-22",-72.9,30858,113692,-82834
"2020-04-23",-73.8,30743,117207,-86464
