"2019","2020","DateTime","percent"
128717,144067,"2020-01-01","11,9"
162303,175861,"2020-01-02","8,4"
169310,175444,"2020-01-03","3,6"
173386,165733,"2020-01-04","-4,4"
161288,172605,"2020-01-05","7,0"
156172,184566,"2020-01-06","18,2"
163601,183328,"2020-01-07","12,1"
163535,179306,"2020-01-08","9,6"
167080,185552,"2020-01-09","11,1"
172335,183890,"2020-01-10","6,7"
170304,154564,"2020-01-11","-9,2"
146139,161515,"2020-01-12","10,5"
143175,171632,"2020-01-13","19,9"
160497,173162,"2020-01-14","7,9"
163077,187297,"2020-01-15","14,9"
167969,187023,"2020-01-16","11,3"
171412,188157,"2020-01-17","9,8"
171368,161254,"2020-01-18","-5,9"
146099,165794,"2020-01-19","13,5"
144117,189099,"2020-01-20","31,2"
165504,190867,"2020-01-21","15,3"
165434,184248,"2020-01-22","11,4"
164357,189810,"2020-01-23","15,5"
170732,189551,"2020-01-24","11,0"
182063,162301,"2020-01-25","-10,9"
158290,164267,"2020-01-26","3,8"
150084,176736,"2020-01-27","17,8"
162823,178310,"2020-01-28","9,5"
167473,184425,"2020-01-29","10,1"
169560,186239,"2020-01-30","9,8"
172592,184949,"2020-01-31","7,2"
173657,154067,"2020-02-01","-11,3"
147095,158666,"2020-02-02","7,9"
143755,179441,"2020-02-03","24,8"
157962,170708,"2020-02-04","8,1"
162766,174865,"2020-02-05","7,4"
169279,171934,"2020-02-06","1,6"
170945,181611,"2020-02-07","6,2"
175057,169881,"2020-02-08","-3,0"
150962,152651,"2020-02-09","1,1"
145408,159472,"2020-02-10","9,7"
159347,161819,"2020-02-11","1,6"
162972,176204,"2020-02-12","8,1"
171927,176585,"2020-02-13","2,7"
181564,192613,"2020-02-14","6,1"
183720,169293,"2020-02-15","-7,9"
162656,157345,"2020-02-16","-3,3"
158729,173785,"2020-02-17","9,5"
175300,172208,"2020-02-18","-1,8"
173623,183938,"2020-02-19","5,9"
165324,183430,"2020-02-20","11,0"
175378,196756,"2020-02-21","12,2"
179037,175274,"2020-02-22","-2,1"
161243,166252,"2020-02-23","3,1"
161890,173788,"2020-02-24","7,3"
175345,172456,"2020-02-25","-1,6"
181297,173708,"2020-02-26","-4,2"
181830,186942,"2020-02-27","2,8"
179643,194125,"2020-02-28","8,1"
"",167154,"2020-02-29",""
180143,167470,"2020-03-01","-7,0"
153198,172689,"2020-03-02","12,7"
149440,176892,"2020-03-03","18,4"
165254,182378,"2020-03-04","10,4"
176597,188674,"2020-03-05","6,8"
179705,188587,"2020-03-06","4,9"
182154,168507,"2020-03-07","-7,5"
181259,171187,"2020-03-08","-5,6"
155062,175350,"2020-03-09","13,1"
154993,171193,"2020-03-10","10,5"
176098,181341,"2020-03-11","3,0"
175953,179920,"2020-03-12","2,3"
172773,171961,"2020-03-13","-0,5"
178389,155729,"2020-03-14","-12,7"
183851,153521,"2020-03-15","-16,5"
168129,157293,"2020-03-16","-6,4"
171119,148325,"2020-03-17","-13,3"
183665,144330,"2020-03-18","-21,4"
188122,132135,"2020-03-19","-29,8"
190106,129138,"2020-03-20","-32,1"
189411,115564,"2020-03-21","-39,0"
192722,102181,"2020-03-22","-47,0"
175774,95227,"2020-03-23","-45,8"
179298,98539,"2020-03-24","-45,0"
169056,94477,"2020-03-25","-44,1"
178914,96970,"2020-03-26","-45,8"
190132,89276,"2020-03-27","-53,0"
192223,69508,"2020-03-28","-63,8"
193782,64522,"2020-03-29","-66,7"
176158,74295,"2020-03-30","-57,8"
177247,77465,"2020-03-31","-56,3"
185743,80431,"2020-04-01","-56,7"
184577,76022,"2020-04-02","-58,8"
188460,72785,"2020-04-03","-61,4"
187792,61570,"2020-04-04","-67,2"
182959,57065,"2020-04-05","-68,8"
167645,67420,"2020-04-06","-59,8"
172498,73157,"2020-04-07","-57,6"
179078,74591,"2020-04-08","-58,3"
183011,68623,"2020-04-09","-62,5"
178895,68188,"2020-04-10","-61,9"
155934,62592,"2020-04-11","-59,9"
193655,46294,"2020-04-12","-76,1"
173790,54214,"2020-04-13","-68,8"
163813,71808,"2020-04-14","-56,2"
185611,74953,"2020-04-15","-59,6"
196594,75216,"2020-04-16","-61,7"
203239,72081,"2020-04-17","-64,5"
200906,58163,"2020-04-18","-71,0"
187339,57994,"2020-04-19","-69,0"
178923,67434,"2020-04-20","-62,3"
172458,75371,"2020-04-21","-56,3"
197510,78427,"2020-04-22","-60,3"
194611,76032,"2020-04-23","-60,9"
196977,74831,"2020-04-24","-62,0"
202680,68877,"2020-04-25","-66,0"
190950,63561,"2020-04-26","-66,7"
170235,74696,"2020-04-27","-56,1"
176610,80714,"2020-04-28","-54,3"
188526,76156,"2020-04-29","-59,6"
188591,78510,"2020-04-30","-58,4"
197625,81522,"2020-05-01","-58,7"
190952,71244,"2020-05-02","-62,7"
190758,68602,"2020-05-03","-64,0"
171350,77484,"2020-05-04","-54,8"
179229,84315,"2020-05-05","-53,0"
194287,90071,"2020-05-06","-53,6"
196322,96122,"2020-05-07","-51,0"
188353,88776,"2020-05-08","-52,9"
186535,81275,"2020-05-09","-56,4"
193129,64344,"2020-05-10","-66,7"
174326,79443,"2020-05-11","-54,4"
170796,89858,"2020-05-12","-47,4"
188640,94702,"2020-05-13","-49,8"
198047,94368,"2020-05-14","-52,4"
205992,94840,"2020-05-15","-54,0"
202754,91233,"2020-05-16","-55,0"
199481,87398,"2020-05-17","-56,2"
185452,89296,"2020-05-18","-51,8"
171644,98601,"2020-05-19","-42,6"
181320,110349,"2020-05-20","-39,1"
188400,121065,"2020-05-21","-35,7"
203930,107821,"2020-05-22","-47,1"
208911,84093,"2020-05-23","-59,7"
210529,80451,"2020-05-24","-61,8"
188596,84532,"2020-05-25","-55,2"
171557,99868,"2020-05-26","-41,8"
186249,111860,"2020-05-27","-39,9"
188669,107189,"2020-05-28","-43,2"
199763,112233,"2020-05-29","-43,8"
208540,106999,"2020-05-30","-48,7"
217824,102287,"2020-05-31","-53,0"
203404,117797,"2020-06-01","-42,1"
195567,118835,"2020-06-02","-39,2"
199616,116320,"2020-06-03","-41,7"
205183,112990,"2020-06-04","-44,9"
201015,111025,"2020-06-05","-44,8"
204126,93355,"2020-06-06","-54,3"
206793,90962,"2020-06-07","-56,0"
191510,106809,"2020-06-08","-44,2"
191141,109757,"2020-06-09","-42,6"
192994,115051,"2020-06-10","-40,4"
206323,123965,"2020-06-11","-39,9"
209091,135545,"2020-06-12","-35,2"
211327,114310,"2020-06-13","-45,9"
217326,103124,"2020-06-14","-52,5"
191436,118914,"2020-06-15","-37,9"
186376,122942,"2020-06-16","-34,0"
204478,128775,"2020-06-17","-37,0"
207100,128959,"2020-06-18","-37,7"
209974,128228,"2020-06-19","-38,9"
209020,118555,"2020-06-20","-43,3"
220066,112276,"2020-06-21","-49,0"
201351,121175,"2020-06-22","-39,8"
200988,128606,"2020-06-23","-36,0"
205474,138845,"2020-06-24","-32,4"
211053,139183,"2020-06-25","-34,1"
217669,135951,"2020-06-26","-37,5"
221756,113899,"2020-06-27","-48,6"
224508,105289,"2020-06-28","-53,1"
203062,116337,"2020-06-29","-42,7"
191917,125957,"2020-06-30","-34,4"
204761,133384,"2020-07-01","-34,9"
210281,142950,"2020-07-02","-32,0"
215963,141940,"2020-07-03","-34,3"
194521,116896,"2020-07-04","-39,9"
197610,118048,"2020-07-05","-40,3"
189617,127813,"2020-07-06","-32,6"
198175,136786,"2020-07-07","-31,0"
208985,139012,"2020-07-08","-33,5"
216151,147323,"2020-07-09","-31,8"
221243,146182,"2020-07-10","-33,9"
215438,141124,"2020-07-11","-34,5"
217564,143199,"2020-07-12","-34,2"
202640,147301,"2020-07-13","-27,3"
198425,147427,"2020-07-14","-25,7"
210892,149426,"2020-07-15","-29,1"
219299,148395,"2020-07-16","-32,3"
219971,155093,"2020-07-17","-29,5"
221813,148535,"2020-07-18","-33,0"
223188,139824,"2020-07-19","-37,4"
201011,145643,"2020-07-20","-27,5"
202085,146312,"2020-07-21","-27,6"
207657,146449,"2020-07-22","-29,5"
214631,149118,"2020-07-23","-30,5"
225296,151744,"2020-07-24","-32,6"
230409,142760,"2020-07-25","-38,0"
226565,129750,"2020-07-26","-42,7"
198060,137884,"2020-07-27","-30,4"
196075,140805,"2020-07-28","-28,2"
209879,135541,"2020-07-29","-35,4"
213381,152409,"2020-07-30","-28,6"
216215,160034,"2020-07-31","-26,0"
224610,145736,"2020-08-01","-35,1"
218980,129153,"2020-08-02","-41,0"
202783,136365,"2020-08-03","-32,8"
206320,142681,"2020-08-04","-30,8"
208326,159116,"2020-08-05","-23,6"
207988,163789,"2020-08-06","-21,3"
206926,163664,"2020-08-07","-20,9"
219565,152224,"2020-08-08","-30,7"
215485,145270,"2020-08-09","-32,6"
190876,148852,"2020-08-10","-22,0"
191657,153882,"2020-08-11","-19,7"
201431,158289,"2020-08-12","-21,4"
207213,158569,"2020-08-13","-23,5"
215384,159621,"2020-08-14","-25,9"
215063,145720,"2020-08-15","-32,2"
217199,141931,"2020-08-16","-34,7"
192203,147485,"2020-08-17","-23,3"
190958,154941,"2020-08-18","-18,9"
204621,160289,"2020-08-19","-21,7"
215041,167110,"2020-08-20","-22,3"
218435,159724,"2020-08-21","-26,9"
224385,142494,"2020-08-22","-36,5"
223653,142071,"2020-08-23","-36,5"
213638,144217,"2020-08-24","-32,5"
205374,148116,"2020-08-25","-27,9"
