"date","count"
"01.10.2019",17
"02.10.2019",9
"03.10.2019",8
"04.10.2019",16
"05.10.2019",7
"06.10.2019",11
"07.10.2019",26
"08.10.2019",18
"09.10.2019",17
"10.10.2019",16
"11.10.2019",19
"12.10.2019",22
"13.10.2019",23
"14.10.2019",36
"15.10.2019",32
"16.10.2019",18
"17.10.2019",22
"18.10.2019",21
"19.10.2019",11
"20.10.2019",19
"21.10.2019",31
"22.10.2019",34
"23.10.2019",12
"24.10.2019",25
"25.10.2019",21
"26.10.2019",22
"27.10.2019",16
"28.10.2019",27
"29.10.2019",29
"30.10.2019",31
"31.10.2019",32
"01.11.2019",13
"02.11.2019",8
"03.11.2019",6
"04.11.2019",14
"05.11.2019",28
"06.11.2019",17
"07.11.2019",20
"08.11.2019",9
"09.11.2019",14
"10.11.2019",21
"11.11.2019",31
"12.11.2019",19
"13.11.2019",13
"14.11.2019",32
"15.11.2019",39
"16.11.2019",31
"17.11.2019",21
"18.11.2019",12
"19.11.2019",28
"20.11.2019",27
"21.11.2019",45
"22.11.2019",33
"23.11.2019",34
"24.11.2019",36
"25.11.2019",39
"26.11.2019",32
"27.11.2019",31
"28.11.2019",7
"29.11.2019",8
"30.11.2019",21
"01.12.2019",17
"02.12.2019",23
"03.12.2019",39
"04.12.2019",37
"05.12.2019",49
"06.12.2019",48
"07.12.2019",9
"08.12.2019",5
"09.12.2019",7
"10.12.2019",37
"11.12.2019",30
"12.12.2019",13
"13.12.2019",11
"14.12.2019",7
"15.12.2019",6
"16.12.2019",42
"17.12.2019",53
"18.12.2019",39
"19.12.2019",46
"20.12.2019",26
"21.12.2019",11
"22.12.2019",5
"23.12.2019",4
"24.12.2019",6
"25.12.2019",4
"26.12.2019",11
"27.12.2019",11
"28.12.2019",18
"29.12.2019",22
"30.12.2019",35
"31.12.2019",37
"01.01.2020",59
"02.01.2020",37
"03.01.2020",19
"04.01.2020",8
"05.01.2020",12
"06.01.2020",21
"07.01.2020",28
"08.01.2020",25
"09.01.2020",23
